Bescheid vom,Rufnummer,Kategorie,Maßnahme
12.04.2022,01632276199|01634480635|01638387890|01772619610|01772650088|01772650236|01772651236|01772652006|01772652537|01772653873|01638381729|01639532956|01773650007|01773650399|01773671278|01773671329|01773671580|017657740484,Spam SMS,Abschaltung der Rufnummern zum 18.04.2022
12.04.2022,094429999969,Internet PopUp,Abschaltung der Rufnummer zum 18.04.2022
12.04.2022,0021625367555|0021627007601|0021629543538|0021646561714|0021652161604|0021653105226|0021653303821|0021653304826|0021653401662|0027814850000|0027814850000|0027845576751|0027873629660|0027873800300|0027873810200|0027873830200|0027873840200|0027873850200|0027873860200|0027873860294|0027873860295|0027873860296|0027873860297|0027873860298|0027873860299|0027873870200|0027873890200|0027873890243|0027873890244|00992717056013|00992717078294|00992717082281|002911112510|002911112523|002911112528|002911112543|002911112547|002911112562|002911112600|002911112603|002911112609|002911112612|002911112613|002911112614|002911112617|002911113970|002911113975|002911114725|002911116600|002911116601|002911116602|002911116603|002911116604|002911116605|002911116606,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot  vom 02.04.2022 bis 03.04.2022
12.04.2022,002911116607|002911116608|002911116609|002911116610|002911116611|002911116612|002911116613|002911116615|002911116616|002911116617|002911116618|002911116619|002911121081|002911126001|002911126002|002911126003|002911126004|002911126005|002911126006|002911126007|002911126008|002911126009|002911126011|002911126012|002911126013|002911126014|002911126015|002911126016|002911126018|002911126019|002911126021|002911126022|002911126023|002911126024|002911126025|002911126026|002911126027|002911126028|002911126029|002911126030|002911126031|002911126084|002911126918|002911126919|002911126921|002911126927|002911126929|002911126946|002911126965|002911126970|002911126984|002911126994|002911126995|002911153743|002911162808,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot  vom 02.04.2022 bis 03.04.2022
08.04.2022,01627654201,Drittnutzung,Abschaltung der Rufnummer zum 15.04.2022 (Portierungsverbot)
06.04.2022,01634494090|01638310544|01638615814|01639520276|01639535046|01639567913|01639567980|01639569865|01639571205|01634458456|01634666953|01638863938|01638955867|01639544685|01639574951|01772651152|01772652549|01772652917|017643677434|017643653875|017643658283|017656562993|017656567496,Spam SMS,Abschaltung der Rufnummern zum 09.04.2022
05.04.2022,015223390467,Spam Fax,Abschaltung der Rufnummer zum 11.04.2022
05.04.2022,01743863801,Spam Fax,Abschaltung der Rufnummer zum 11.04.2022
05.04.2022,023497108844,Internet PopUp,Abschaltung der Rufnummer zum 11.04.2022
05.04.2022,01638616141|01636844464|01635990831|017646588801|017646588802|017646588803,Spam SMS,Abschaltung der Rufnummern zum 11.04.2022
31.03.2022,076219864744,Spam SMS,Abschaltung der Rufnummer zum 05.04.2022
30.03.2022,032124005040,Spam Fax,Abschaltung der Rufnummer zum 04.04.2022
30.03.2022,015219198189,Telefonie Dialer,Abschaltung der Rufnummer zum 02.04.2022
30.03.2022,015219212433,Telefonie Dialer,Abschaltung der Rufnummer zum 02.04.2022
30.03.2022,01621808161,Spam SMS,Abschaltung der Rufnummer zum 04.04.2022
24.03.2022,015758520781|015758521303|015781924111|015781932001|015783445634|015783445650,Spam SMS,Abschaltung der Rufnummern zum 28.03.2022
24.03.2022,01632625750|01633962790|01634082543|01771784377|01777933428|015752927768|017620476738|017629996891|017637075347|017683221926|01632684701|01633367383|01633962241|01634664046|01634967080|01636247381|01637878342,Spam SMS,Abschaltung der Rufnummern zum 28.03.2022
23.03.2022,0021620196XXX|0021620213XXX|0021620359XXX|0021621035XXX|0021621493XXX|0021622595XXX|0021625045XXX|0021625103XXX|0021626116XXX|0021626120XXX|0021627236XXX|0021628337XXX|0021628359XXX|0021629006XXX|0021650902XXX|0021651900XXX|0021652000XXX|0021652001XXX|0021652411XXX|0021652500XXX|0021652800XXX|0021653101XXX|0021653103XXX|0021653301XXX|0021653400XXX|0021654000XXX|0021654201XXX|0021655201XXX|0021655601XXX|0021655902XXX|0021656010XXX|0021656100XXX|0021656500XXX|0021656501XXX|0021656601XXX|0021658513XXX|00212612003XXX|00212612004XXX|00212612004XXX|00212612005XXX,Hacking / Schadsoftware,Isoliertes Rechnungslegungs- und Inkassierungsverbot vom 29.10.2021 bis 23.03.2022
23.03.2022,00212612005XXX|00212612006XXX|00212612008XXX|00212614000XXX|00212614000XXX|00212614001XXX|00212614002XXX|00212614008XXX|00212614010XXX|00212614012XXX|00212614013XXX|00212614013XXX|00212617003XXX|00212619002XXX|00212619004XXX|00212619005XXX|00212619005XXX|00212619008XXX|00212620000XXX|00212621000XXX|00212632000XXX|00212632000XXX|00212632000XXX|00212657001XXX|00212657002XXX|00212657002XXX|00212657002XXX|00212657005XXX|00212660179XXX|00212660179XXX|00212660182XXX|00212660231XXX|00212660246XXX|00212660255XXX|00212660263XXX|00212669002XXX|00212669004XXX|00212669007XXX|00212669017XXX|,Hacking / Schadsoftware,Isoliertes Rechnungslegungs- und Inkassierungsverbot vom 29.10.2021 bis 23.03.2022
23.03.2022,01632298556|01634082814|01634952679|01635982375|01636083185|01636799528|01636818960|01638312485|01638314998|01638387463|01638866807|01638871289|01638871345|01638875285|01639538074|01635997008|01636799669|01635077138,Spam SMS,Abschaltung der Rufnummern zum 26.03.2022
23.03.2022,01632211988|01632382467|01633334340|01633338680|01633484152|01633908769|01634656547|01634837003|01634839492|01634862030|01634969067|01636245956|01636247059|01637878367|01637970442|01637971055|01638116042|01638302696|01639526361|01639526834|01639532352|01639832922|01639533454|01638311892|01639533505|017675338891,Spam SMS,Abschaltung der Rufnummern zum 26.03.2022
22.03.2022,015221060597,Spam Fax,Abschaltung der Rufnummer zum 28.03.2022
22.03.2022,032126607702,Spam Fax,Abschaltung der Rufnummer zum 28.03.2022
22.03.2022,015217952687|015217788211,Telefonie Dialer,Abschaltung der Rufnummern zum 25.03.2022
21.03.2022,034292454615,Internet PopUp,Abschaltung der Rufnummer zum 26.03.2022
17.03.2022,015203038981,Spam Fax,Abschaltung der Rufnummer zum 22.03.2022
16.03.2022,015203038828,Spam Fax,Abschaltung der Rufnummer zum 21.03.2022
16.03.2022,023199219673,Internet PopUp,Abschaltung der Rufnummer zum 21.03.2022
14.03.2022,015221060592,Spam Fax,Abschaltung der Rufnummer zum 19.03.2022
14.03.2022,038574464730,Internet PopUp,Abschaltung der Rufnummer zum 19.03.2022
